name,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
AL031987,8,9,12,26.3,-93.6,tropical depression,-1,30,1010,NA,NA
AL031987,8,9,18,27.3,-94,tropical storm,0,35,1008,NA,NA
AL031987,8,10,0,28.4,-94.4,tropical storm,0,40,1008,NA,NA
AL031987,8,10,6,29.5,-94.5,tropical storm,0,40,1009,NA,NA
AL031987,8,10,12,30.5,-94.5,tropical storm,0,40,1009,NA,NA
AL031987,8,10,18,31.3,-94.1,tropical depression,-1,30,1009,NA,NA
AL031987,8,11,0,31.8,-93.5,tropical depression,-1,25,1009,NA,NA
AL031987,8,11,6,32.3,-92.7,tropical depression,-1,25,1009,NA,NA
AL031987,8,11,12,32.3,-91.8,tropical depression,-1,25,1008,NA,NA
AL031987,8,11,18,32.2,-91.2,tropical depression,-1,25,1008,NA,NA
AL031987,8,12,0,32.1,-90.6,tropical depression,-1,25,1007,NA,NA
AL031987,8,12,6,32,-90.2,tropical depression,-1,25,1007,NA,NA
AL031987,8,12,12,32,-89.7,tropical depression,-1,25,1007,NA,NA
AL031987,8,12,18,32,-89.3,tropical depression,-1,20,1007,NA,NA
AL031987,8,13,0,31.9,-88.8,tropical depression,-1,20,1008,NA,NA
AL031987,8,13,6,31.8,-88.4,tropical depression,-1,20,1008,NA,NA
AL031987,8,13,12,31.7,-88,tropical depression,-1,20,1009,NA,NA
AL031987,8,13,18,31.5,-87.7,tropical depression,-1,15,1009,NA,NA
AL031987,8,14,0,31.3,-87.4,tropical depression,-1,15,1010,NA,NA
AL031987,8,14,6,31.1,-87.1,tropical depression,-1,15,1010,NA,NA
AL031987,8,14,12,30.8,-86.8,tropical depression,-1,15,1010,NA,NA
AL031987,8,14,18,30.6,-86.6,tropical depression,-1,15,1011,NA,NA
AL031987,8,15,0,30.3,-86.3,tropical depression,-1,15,1011,NA,NA
AL031987,8,15,6,30,-86,tropical depression,-1,15,1011,NA,NA
AL031987,8,15,12,29.8,-85.6,tropical depression,-1,15,1012,NA,NA
AL031987,8,15,18,29.7,-85,tropical depression,-1,15,1012,NA,NA
AL031987,8,16,0,29.8,-84.5,tropical depression,-1,15,1013,NA,NA
AL031987,8,16,6,30.2,-84,tropical depression,-1,15,1014,NA,NA
AL031987,8,16,12,30.5,-83.7,tropical depression,-1,15,1014,NA,NA
AL031987,8,16,18,30.9,-83.2,tropical depression,-1,10,1014,NA,NA
AL031987,8,17,0,31.4,-82.9,tropical depression,-1,10,1015,NA,NA
AL031987,8,17,6,31.8,-82.3,tropical depression,-1,10,1015,NA,NA
Emily,9,20,0,9.8,-51.3,tropical depression,-1,25,1008,NA,NA
Emily,9,20,6,10.4,-53,tropical depression,-1,25,1007,NA,NA
Emily,9,20,12,10.9,-54.7,tropical depression,-1,30,1006,NA,NA
