name,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
Alberto,8,5,18,32,-77.5,tropical depression,-1,20,1015,NA,NA
Alberto,8,6,0,32.8,-76.2,tropical depression,-1,20,1014,NA,NA
Alberto,8,6,6,34,-75.2,tropical depression,-1,20,1013,NA,NA
Alberto,8,6,12,35.2,-74.6,tropical depression,-1,25,1012,NA,NA
Alberto,8,6,18,37,-73.5,tropical depression,-1,25,1011,NA,NA
Alberto,8,7,0,38.7,-72.4,tropical depression,-1,25,1009,NA,NA
Alberto,8,7,6,40,-70.8,tropical depression,-1,30,1006,NA,NA
Alberto,8,7,12,41.5,-69,tropical storm,0,35,1002,NA,NA
Alberto,8,7,18,43,-67.5,tropical storm,0,35,1002,NA,NA
Alberto,8,8,0,45,-65.5,tropical storm,0,35,1004,NA,NA
Alberto,8,8,6,47,-63,tropical storm,0,35,1006,NA,NA
Beryl,8,8,0,30.4,-90.3,tropical depression,-1,25,1010,NA,NA
Beryl,8,8,6,29.7,-89.7,tropical depression,-1,30,1009,NA,NA
Beryl,8,8,12,29.7,-89.4,tropical storm,0,35,1007,NA,NA
Beryl,8,8,18,29.4,-89.2,tropical storm,0,40,1005,NA,NA
Beryl,8,9,0,29.3,-89.1,tropical storm,0,45,1002,NA,NA
Beryl,8,9,6,29.6,-89.5,tropical storm,0,45,1001,NA,NA
Beryl,8,9,12,30.1,-90.4,tropical storm,0,45,1002,NA,NA
Beryl,8,9,18,30.1,-90.9,tropical storm,0,40,1005,NA,NA
Beryl,8,10,0,30.3,-91.6,tropical depression,-1,30,1006,NA,NA
Beryl,8,10,6,30.7,-92.2,tropical depression,-1,30,1007,NA,NA
Beryl,8,10,12,31.2,-92.6,tropical depression,-1,25,1008,NA,NA
Beryl,8,10,18,31.7,-93.2,tropical depression,-1,20,1011,NA,NA
Chris,8,21,12,14.9,-43.3,tropical depression,-1,25,1009,NA,NA
Chris,8,21,18,14.6,-45.7,tropical depression,-1,25,1009,NA,NA
Chris,8,22,0,14.6,-47.8,tropical depression,-1,25,1009,NA,NA
Chris,8,22,6,14.7,-49.9,tropical depression,-1,25,1009,NA,NA
Chris,8,22,12,14.8,-51.9,tropical depression,-1,30,1009,NA,NA
Chris,8,22,18,15.1,-54,tropical depression,-1,30,1009,NA,NA
Chris,8,23,0,15.3,-55.7,tropical depression,-1,30,1009,NA,NA
Chris,8,23,6,15.6,-57.5,tropical depression,-1,30,1009,NA,NA
Chris,8,23,12,16,-59.2,tropical depression,-1,30,1009,NA,NA
Chris,8,23,18,16.3,-61,tropical depression,-1,30,1009,NA,NA
Chris,8,24,0,16.7,-62.4,tropical depression,-1,30,1009,NA,NA
Chris,8,24,6,16.9,-63.8,tropical depression,-1,30,1009,NA,NA
Chris,8,24,12,17.2,-65.2,tropical depression,-1,30,1009,NA,NA
Chris,8,24,18,17.5,-66.7,tropical depression,-1,30,1009,NA,NA
Chris,8,25,0,17.8,-67.8,tropical depression,-1,30,1009,NA,NA
Chris,8,25,6,18.2,-68.8,tropical depression,-1,30,1009,NA,NA
Chris,8,25,12,18.5,-69.8,tropical depression,-1,30,1008,NA,NA
Chris,8,25,18,19.1,-70.9,tropical depression,-1,30,1008,NA,NA
Chris,8,26,0,19.8,-72.1,tropical depression,-1,30,1008,NA,NA
Chris,8,26,6,20.5,-73.2,tropical depression,-1,30,1008,NA,NA
Chris,8,26,12,21.5,-74.2,tropical depression,-1,30,1008,NA,NA
Chris,8,26,18,22.5,-75.4,tropical depression,-1,30,1008,NA,NA
Chris,8,27,0,23.3,-76.2,tropical depression,-1,30,1008,NA,NA
Chris,8,27,6,24.1,-77.2,tropical depression,-1,30,1008,NA,NA
Chris,8,27,12,24.9,-78.1,tropical depression,-1,30,1008,NA,NA
Chris,8,27,18,25.8,-79,tropical depression,-1,30,1008,NA,NA
Chris,8,28,0,26.8,-79.7,tropical depression,-1,30,1008,NA,NA
Chris,8,28,6,28.2,-80,tropical storm,0,40,1008,NA,NA
Chris,8,28,12,30.8,-80.8,tropical storm,0,45,1005,NA,NA
Chris,8,28,15,32,-80.9,tropical storm,0,40,1005,NA,NA
Chris,8,28,18,32.8,-81.1,tropical storm,0,35,1006,NA,NA
Chris,8,29,0,34.1,-81.1,tropical depression,-1,25,1008,NA,NA
Chris,8,29,6,35.8,-80.6,tropical depression,-1,20,1009,NA,NA
