name,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
Anita,8,29,12,26.9,-88.4,tropical depression,-1,20,1012,NA,NA
Anita,8,29,18,27,-88.9,tropical depression,-1,25,1010,NA,NA
Anita,8,30,0,26.9,-89.4,tropical depression,-1,30,1009,NA,NA
Anita,8,30,6,26.8,-89.8,tropical storm,0,40,1006,NA,NA
Anita,8,30,12,26.7,-90.3,tropical storm,0,50,1003,NA,NA
Anita,8,30,18,26.5,-90.6,hurricane,1,65,997,NA,NA
Anita,8,31,0,26.4,-91,hurricane,1,70,991,NA,NA
Anita,8,31,6,26.3,-91.4,hurricane,1,75,988,NA,NA
Anita,8,31,12,26.2,-91.8,hurricane,1,75,986,NA,NA
Anita,8,31,18,26.1,-92.3,hurricane,1,80,985,NA,NA
Anita,9,1,0,25.9,-92.8,hurricane,1,80,979,NA,NA
Anita,9,1,6,25.8,-93.7,hurricane,2,85,972,NA,NA
Anita,9,1,12,25.5,-94.7,hurricane,2,90,963,NA,NA
Anita,9,1,18,25.2,-95.5,hurricane,3,110,945,NA,NA
Anita,9,2,0,24.6,-96.2,hurricane,5,140,931,NA,NA
Anita,9,2,6,24.2,-97.1,hurricane,5,150,926,NA,NA
Anita,9,2,12,23.7,-98,hurricane,4,120,940,NA,NA
Anita,9,2,18,23.1,-99.2,hurricane,1,70,978,NA,NA
Anita,9,3,0,22.5,-101,tropical storm,0,40,998,NA,NA
Anita,9,3,6,22,-103,tropical depression,-1,25,1011,NA,NA
Clara,9,5,12,32.8,-80,tropical depression,-1,20,1015,NA,NA
Clara,9,5,18,33.2,-79,tropical depression,-1,20,1014,NA,NA
Clara,9,6,0,33.6,-78.2,tropical depression,-1,20,1013,NA,NA
Clara,9,6,6,33.8,-77.6,tropical depression,-1,25,1012,NA,NA
Clara,9,6,12,34,-77,tropical depression,-1,25,1011,NA,NA
Clara,9,6,18,34.2,-76.4,tropical depression,-1,25,1010,NA,NA
Clara,9,7,0,34.4,-75.8,tropical depression,-1,30,1010,NA,NA
Clara,9,7,6,34.6,-75,tropical depression,-1,30,1010,NA,NA
Clara,9,7,12,34.7,-74.3,tropical depression,-1,30,1010,NA,NA
Clara,9,7,18,34.9,-73,tropical depression,-1,30,1010,NA,NA
Clara,9,8,0,35.1,-71.7,tropical storm,0,35,1006,NA,NA
Clara,9,8,6,35.3,-69.7,tropical storm,0,45,1001,NA,NA
Clara,9,8,12,35.5,-67.7,hurricane,1,65,993,NA,NA
Clara,9,8,18,35.6,-66.2,hurricane,1,65,994,NA,NA
Clara,9,9,0,35.5,-64.6,hurricane,1,65,998,NA,NA
Clara,9,9,6,34.8,-63.5,tropical storm,0,60,1000,NA,NA
Clara,9,9,12,34,-62.8,tropical storm,0,55,999,NA,NA
Clara,9,9,18,33.4,-62.8,tropical storm,0,50,1001,NA,NA
Clara,9,10,0,32.8,-63.2,tropical storm,0,45,1000,NA,NA
Clara,9,10,6,32.8,-63.6,tropical storm,0,40,1000,NA,NA
Clara,9,10,12,33,-63.8,tropical storm,0,45,1001,NA,NA
Clara,9,10,18,33.5,-63.7,tropical storm,0,45,1001,NA,NA
Clara,9,11,0,34.2,-63.2,tropical storm,0,45,1002,NA,NA
Clara,9,11,6,34.8,-62.5,tropical storm,0,45,1002,NA,NA
Evelyn,10,13,18,26.9,-62.9,tropical depression,-1,30,1010,NA,NA
Evelyn,10,14,0,29,-64,tropical depression,-1,30,1008,NA,NA
Evelyn,10,14,6,30.9,-64.9,tropical storm,0,35,1005,NA,NA
Evelyn,10,14,12,33,-64.9,tropical storm,0,40,1002,NA,NA
Evelyn,10,14,18,35.9,-64.4,tropical storm,0,50,999,NA,NA
Evelyn,10,15,0,39.2,-63.3,hurricane,1,65,994,NA,NA
Evelyn,10,15,6,42.4,-61.5,hurricane,1,70,996,NA,NA
Evelyn,10,15,12,45.5,-60.1,hurricane,1,70,998,NA,NA
Evelyn,10,15,18,47.4,-59.2,hurricane,1,70,999,NA,NA
